Document No_,Line No_,Sell-to Customer No_,Type,No_,Location Code,Posting Date,Shipment Date,Description_x,Unit of Measure,Quantity,Unit Price,Unit Cost (LCY),Line Discount _,Line Discount Amount,Amount,Amount Including VAT,Item Category Code_x,Tipo,Buy-from Vendor No_,Expected Receipt Date,Unit Cost,Description_y,Base Unit of Measure,Item Category Code_y,Cantidad en Inventario
103113,20000,40000.0,2,1920-S,,2022-09-24,2023-04-16,Mesa de conferencia AMBERES,stück,2.0,651.1,508.0,0.0,0.0,1302.2,1302.2,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103113,30000,40000.0,2,1960-S,,2022-09-24,2023-04-16,"Silla inv. ROMA, verde",stück,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103113,40000,40000.0,2,1968-S,,2022-09-24,2023-04-16,"Silla giratoria MÉXICO, negra",stück,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103113,50000,40000.0,2,1980-S,,2022-09-24,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,0.0,0.0,191.0,191.0,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103114,10000,20000.0,2,1900-S,,2022-09-25,2023-04-16,"Silla inv. PARÍS, negra",Unidad,2.0,193.7,151.1,0.0,0.0,387.4,468.75,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103115,10000,30000.0,2,1896-S,,2022-09-25,2023-04-16,ATHENS Desk,Piece,4.0,1005.8,784.6,0.0,0.0,4023.2,4023.2,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103115,20000,30000.0,2,1928-S,,2022-09-25,2023-04-16,Lámpara giratoria roja,Piece,7.0,55.2,43.1,0.0,0.0,386.4,386.4,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103115,30000,30000.0,2,1996-S,,2022-09-25,2023-04-16,"ATLANTA Whiteboard, base",Piece,3.0,1404.3,1095.3,0.0,0.0,4212.9,4212.9,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103116,10000,50000.0,2,1920-S,,2022-09-28,2023-04-16,Mesa de conferencia AMBERES,Unidad,2.0,651.1,508.0,0.0,0.0,1302.2,1575.66,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103116,20000,50000.0,2,1988-S,,2022-09-28,2023-04-16,"Silla inv. SEUL, roja",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103117,10000,30000.0,2,1936-S,,2022-09-28,2023-04-16,"BERLIN Guest Chair, yellow",Piece,7.0,193.7,151.1,0.0,0.0,1355.9,1355.9,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
103117,20000,30000.0,2,1972-S,,2022-09-28,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,3.0,191.0,148.9,0.0,0.0,573.0,573.0,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103117,30000,30000.0,2,2000-S,,2022-09-28,2023-04-16,"SYDNEY Swivel Chair, green",Piece,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0
103118,10000,30000.0,2,1960-S,,2022-10-02,2023-04-16,"ROME Guest Chair, green",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103119,10000,20000.0,2,1928-S,,2022-10-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,0.0,0.0,165.6,200.38,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103120,10000,10000.0,2,1960-S,,2022-10-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103121,10000,30000.0,2,1988-S,,2022-10-20,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103122,10000,50000.0,2,1968-S,,2022-10-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103123,10000,40000.0,2,1960-S,,2022-10-22,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103124,10000,20000.0,2,1900-S,,2022-10-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103124,20000,20000.0,2,1964-S,,2022-10-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103124,30000,20000.0,2,1980-S,,2022-10-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103125,10000,10000.0,2,1896-S,,2022-10-23,2023-04-16,Escritorio ATENAS,Unidad,5.0,1005.8,784.6,0.0,0.0,5029.0,6085.09,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103125,20000,10000.0,2,1972-S,,2022-10-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103125,30000,10000.0,2,1996-S,,2022-10-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,4.0,1404.3,1095.3,0.0,0.0,5617.2,6796.81,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103126,10000,50000.0,2,1906-S,,2022-10-25,2023-04-16,Pedestal móvil ATENAS,Unidad,10.0,435.8,339.9,0.0,0.0,4358.0,5273.18,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103127,10000,30000.0,2,1928-S,,2022-10-26,2023-04-16,Lámpara giratoria roja,Piece,7.0,55.2,43.1,0.0,0.0,386.4,386.4,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103128,10000,40000.0,2,1908-S,,2022-10-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103128,20000,40000.0,2,1920-S,,2022-10-26,2023-04-16,Mesa de conferencia AMBERES,stück,2.0,651.1,508.0,0.0,0.0,1302.2,1302.2,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103128,30000,40000.0,2,1968-S,,2022-10-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,7.0,191.0,148.9,0.0,0.0,1337.0,1337.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103128,40000,40000.0,2,1980-S,,2022-10-26,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,0.0,0.0,191.0,191.0,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103129,10000,20000.0,2,1900-S,,2022-10-28,2023-04-16,"Silla inv. PARÍS, negra",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103130,10000,30000.0,2,1896-S,,2022-10-29,2023-04-16,ATHENS Desk,Piece,4.0,1005.8,784.6,0.0,0.0,4023.2,4023.2,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103130,20000,30000.0,2,1936-S,,2022-10-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,9.0,193.7,151.1,0.0,0.0,1743.3,1743.3,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
103130,30000,30000.0,2,1972-S,,2022-10-29,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103130,40000,30000.0,2,1996-S,,2022-10-29,2023-04-16,"ATLANTA Whiteboard, base",Piece,3.0,1404.3,1095.3,0.0,0.0,4212.9,4212.9,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103131,10000,50000.0,2,1920-S,,2022-10-31,2023-04-16,Mesa de conferencia AMBERES,Unidad,2.0,651.1,508.0,0.0,0.0,1302.2,1575.66,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103131,20000,50000.0,2,1988-S,,2022-10-31,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103132,10000,30000.0,2,1960-S,,2022-11-01,2023-04-16,"ROME Guest Chair, green",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103132,20000,30000.0,2,2000-S,,2022-11-01,2023-04-16,"SYDNEY Swivel Chair, green",Piece,6.0,191.0,148.9,0.0,0.0,1146.0,1146.0,SILLA,Venta,,,,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0
103133,10000,20000.0,2,1928-S,,2022-11-17,2023-04-16,Lámpara ÁMSTERDAM,Unidad,2.0,55.2,43.1,0.0,0.0,110.4,133.58,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103134,10000,30000.0,2,1988-S,,2022-11-19,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103135,10000,50000.0,2,1968-S,,2022-11-20,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103136,10000,10000.0,2,1896-S,,2022-11-21,2023-04-16,Escritorio ATENAS,Unidad,4.0,1005.8,784.6,0.0,0.0,4023.2,4868.07,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103136,20000,10000.0,2,1960-S,,2022-11-21,2023-04-16,"Silla inv. ROMA, verde",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.14,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103136,30000,10000.0,2,1972-S,,2022-11-21,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103136,40000,10000.0,2,1996-S,,2022-11-21,2023-04-16,"Pizarra ATLANTA, base",Unidad,4.0,1404.3,1095.3,0.0,0.0,5617.2,6796.81,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103137,10000,20000.0,2,1900-S,,2022-11-22,2023-04-16,"Silla inv. PARÍS, negra",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103137,20000,20000.0,2,1964-S,,2022-11-22,2023-04-16,"Silla inv. TOKIO, azul",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103137,30000,20000.0,2,1980-S,,2022-11-22,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103138,10000,50000.0,2,1906-S,,2022-11-24,2023-04-16,Pedestal móvil ATENAS,Unidad,6.0,435.8,339.9,0.0,0.0,2614.8,3163.91,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103139,10000,40000.0,2,1908-S,,2022-11-24,2023-04-16,"Silla giratoria LONDRES, azul",stück,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103139,20000,40000.0,2,1920-S,,2022-11-24,2023-04-16,Mesa de conferencia AMBERES,stück,2.0,651.1,508.0,0.0,0.0,1302.2,1302.2,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103139,30000,40000.0,2,1960-S,,2022-11-24,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103139,40000,40000.0,2,1968-S,,2022-11-24,2023-04-16,"Silla giratoria MÉXICO, negra",stück,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103139,50000,40000.0,2,1980-S,,2022-11-24,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,0.0,0.0,191.0,191.0,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103140,10000,20000.0,2,1900-S,,2022-11-25,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103141,10000,30000.0,2,1896-S,,2022-11-25,2023-04-16,ATHENS Desk,Piece,4.0,1005.8,784.6,0.0,0.0,4023.2,4023.2,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103141,20000,30000.0,2,1928-S,,2022-11-25,2023-04-16,Lámpara giratoria roja,Piece,7.0,55.2,43.1,0.0,0.0,386.4,386.4,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103141,30000,30000.0,2,1996-S,,2022-11-25,2023-04-16,"ATLANTA Whiteboard, base",Piece,2.0,1404.3,1095.3,0.0,0.0,2808.6,2808.6,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103142,10000,50000.0,2,1920-S,,2022-11-28,2023-04-16,Mesa de conferencia AMBERES,Unidad,2.0,651.1,508.0,0.0,0.0,1302.2,1575.66,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103142,20000,50000.0,2,1988-S,,2022-11-28,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103143,10000,30000.0,2,1936-S,,2022-11-28,2023-04-16,"BERLIN Guest Chair, yellow",Piece,7.0,193.7,151.1,0.0,0.0,1355.9,1355.9,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
103143,20000,30000.0,2,1972-S,,2022-11-28,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,3.0,191.0,148.9,0.0,0.0,573.0,573.0,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103143,30000,30000.0,2,2000-S,,2022-11-28,2023-04-16,"SYDNEY Swivel Chair, green",Piece,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0
103144,10000,30000.0,2,1960-S,,2022-12-02,2023-04-16,"ROME Guest Chair, green",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103145,10000,20000.0,2,1928-S,,2022-12-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,2.0,55.2,43.1,0.0,0.0,110.4,133.58,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103145,20000,20000.0,2,1988-S,,2022-12-18,2023-04-16,"Silla inv. SEUL, roja",Unidad,1.0,193.7,151.1,0.0,0.0,193.7,234.38,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103146,10000,10000.0,2,1960-S,,2022-12-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,2.0,193.7,151.1,0.0,0.0,387.4,468.75,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103147,10000,50000.0,2,1968-S,,2022-12-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,1.0,191.0,148.9,0.0,0.0,191.0,231.11,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103148,10000,10000.0,2,1896-S,,2022-12-22,2023-04-16,Escritorio ATENAS,Unidad,3.0,1005.8,784.6,0.0,0.0,3017.4,3651.05,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103148,20000,10000.0,2,1972-S,,2022-12-22,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,1.0,191.0,148.9,0.0,0.0,191.0,231.11,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103149,10000,20000.0,2,1900-S,,2022-12-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,1.0,193.7,151.1,0.0,0.0,193.7,234.38,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103149,20000,20000.0,2,1964-S,,2022-12-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,2.0,193.7,151.1,0.0,0.0,387.4,468.75,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103150,10000,40000.0,2,1960-S,,2022-12-23,2023-04-16,"Silla inv. ROMA, verde",stück,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103150,20000,40000.0,2,1996-S,,2022-12-23,2023-04-16,"Pizarra ATLANTA, base",stück,2.0,1404.3,1095.3,0.0,0.0,2808.6,2808.6,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103151,10000,50000.0,2,1906-S,,2022-12-25,2023-04-16,Pedestal móvil ATENAS,Unidad,2.0,435.8,339.9,0.0,0.0,871.6,1054.64,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103152,10000,30000.0,2,1928-S,,2022-12-26,2023-04-16,Lámpara giratoria roja,Piece,4.0,55.2,43.1,0.0,0.0,220.8,220.8,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103153,10000,40000.0,2,1908-S,,2022-12-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,3.0,191.0,148.9,0.0,0.0,573.0,573.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103153,20000,40000.0,2,1920-S,,2022-12-26,2023-04-16,Mesa de conferencia AMBERES,stück,1.0,651.1,508.0,0.0,0.0,651.1,651.1,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103153,30000,40000.0,2,1968-S,,2022-12-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,3.0,191.0,148.9,0.0,0.0,573.0,573.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103154,10000,50000.0,2,1920-S,,2022-12-29,2023-04-16,Mesa de conferencia AMBERES,Unidad,1.0,651.1,508.0,0.0,0.0,651.1,787.83,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103155,10000,30000.0,2,1896-S,,2022-12-29,2023-04-16,ATHENS Desk,Piece,3.0,1005.8,784.6,0.0,0.0,3017.4,3017.4,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103155,20000,30000.0,2,1936-S,,2022-12-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,5.0,193.7,151.1,0.0,0.0,968.5,968.5,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
103155,30000,30000.0,2,1972-S,,2022-12-29,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,2.0,191.0,148.9,0.0,0.0,382.0,382.0,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103155,40000,30000.0,2,1988-S,,2022-12-29,2023-04-16,"SEOUL Guest Chair, red",Piece,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103155,50000,30000.0,2,2000-S,,2022-12-29,2023-04-16,"SYDNEY Swivel Chair, green",Piece,3.0,191.0,148.9,0.0,0.0,573.0,573.0,SILLA,Venta,,,,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0
103156,10000,20000.0,2,1900-S,,2022-12-29,2023-04-16,"Silla inv. PARÍS, negra",Unidad,2.0,193.7,151.1,0.0,0.0,387.4,468.75,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103156,20000,20000.0,2,1980-S,,2022-12-29,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103157,10000,10000.0,2,1996-S,,2022-12-31,2023-04-16,"Pizarra ATLANTA, base",Unidad,2.0,1404.3,1095.3,0.0,0.0,2808.6,3398.41,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103158,10000,30000.0,2,1960-S,,2023-01-01,2023-04-16,"ROME Guest Chair, green",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103159,10000,20000.0,2,1928-S,,2023-01-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,0.0,0.0,165.6,200.38,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103160,10000,10000.0,2,1960-S,,2023-01-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103161,10000,30000.0,2,1988-S,,2023-01-20,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103162,10000,50000.0,2,1968-S,,2023-01-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103163,10000,40000.0,2,1960-S,,2023-01-22,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103164,10000,20000.0,2,1900-S,,2023-01-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103164,20000,20000.0,2,1964-S,,2023-01-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,6.0,193.7,151.1,0.0,0.0,1162.2,1406.26,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103164,30000,20000.0,2,1980-S,,2023-01-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,3.0,191.0,148.9,0.0,0.0,573.0,693.33,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103165,10000,10000.0,2,1896-S,,2023-01-23,2023-04-16,Escritorio ATENAS,Unidad,6.0,1005.8,784.6,0.0,0.0,6034.8,7302.11,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103165,20000,10000.0,2,1972-S,,2023-01-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103165,30000,10000.0,2,1996-S,,2023-01-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,4.0,1404.3,1095.3,0.0,0.0,5617.2,6796.81,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103166,10000,50000.0,2,1906-S,,2023-01-25,2023-04-16,Pedestal móvil ATENAS,Unidad,6.0,435.8,339.9,0.0,0.0,2614.8,3163.91,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103167,10000,30000.0,2,1928-S,,2023-01-26,2023-04-16,Lámpara giratoria roja,Piece,8.0,55.2,43.1,0.0,0.0,441.6,441.6,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103168,10000,40000.0,2,1908-S,,2023-01-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103168,20000,40000.0,2,1920-S,,2023-01-26,2023-04-16,Mesa de conferencia AMBERES,stück,3.0,651.1,508.0,0.0,0.0,1953.3,1953.3,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103168,30000,40000.0,2,1968-S,,2023-01-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103168,40000,40000.0,2,1980-S,,2023-01-26,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,0.0,0.0,191.0,191.0,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103169,10000,20000.0,2,1900-S,,2023-01-28,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103170,10000,30000.0,2,1896-S,,2023-01-29,2023-04-16,ATHENS Desk,Piece,4.0,1005.8,784.6,0.0,0.0,4023.2,4023.2,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103170,20000,30000.0,2,1936-S,,2023-01-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,9.0,193.7,151.1,0.0,0.0,1743.3,1743.3,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
